xa2,xb2,y,Aug,Dec,Apr,Nov,Sep,May,Mar,Jul,Jun,Jan,Feb,Oct,Sat,Tue,Wed,Mon,Thu,Fri,Sun
-35.4401,-1.080221,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.02819419,-0.9658543,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.02819419,-0.8740256,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.02819419,-0.9905764,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.02819419,-1.287091,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.02819419,-0.7682992,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.02819419,-0.4666503,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.02819419,-0.5815908,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.02819419,0.830351,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.02819419,0.8095926,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.02819419,0.6626798,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.02819419,0.3637099,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.02819419,0.4297261,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.02819419,0.844103,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.02819419,0.05692935,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0.02819419,0.04936903,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.02819419,-0.292457,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.02819419,-0.5902178,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.02819419,0.2802414,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.02819419,0.4611923,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.02819419,-0.2251059,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.02819419,-0.6059864,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.02819419,-0.5126549,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.02819419,-1.168994,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0.02819419,-1.391786,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.02819419,-0.8685749,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.02819419,-0.9698493,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.02819419,-0.8530148,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.02819419,-0.7685959,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.02819419,-0.4769461,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.02819419,-0.3192633,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.02819419,-0.3538823,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.02819419,-0.02396387,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.02819419,-0.1619028,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.02819419,-0.8334615,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.02819419,-1.013952,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.02819419,-0.4432404,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0.02819419,-0.3754107,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.02819419,-0.7838584,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.02819419,-0.766641,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0.02819419,-0.6901308,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.02819419,-0.781452,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.02819419,-0.3924269,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0.02819419,-0.5675369,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.02819419,-0.3252986,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.02819419,-0.6660011,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0.02819419,-1.031433,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.02819419,-0.3466288,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.02819419,0.3111697,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.02819419,-0.2449781,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
