Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,205.130005,205.889999,203.869995,203.869995,102929500,199.584102
2015-12-30,207.110001,207.210007,205.759995,205.929993,63317700,201.600793
2015-12-29,206.509995,207.789993,206.470001,207.399994,92640700,203.039891
2015-12-28,204.860001,205.259995,203.940002,205.210007,65899900,200.895943
2015-12-24,205.720001,206.330002,205.419998,205.679993,48539600,201.356049
2015-12-23,204.690002,206.070007,204.580002,206.020004,110987200,201.688912
2015-12-22,202.720001,203.850006,201.550003,203.50,111026200,199.221885
2015-12-21,201.410004,201.880005,200.089996,201.669998,99094300,197.430355
2015-12-18,202.770004,202.929993,199.830002,200.020004,251393500,195.815048
2015-12-17,208.399994,208.479996,204.839996,204.860001,173092500,199.366778
2015-12-16,206.369995,208.389999,204.800003,208.029999,197017000,202.451774
2015-12-15,204.699997,206.110001,202.869995,205.029999,154069600,199.532218
2015-12-14,202.070007,203.050003,199.949997,202.899994,182385200,197.459328
2015-12-11,203.350006,204.139999,201.509995,201.880005,211173300,196.466689
2015-12-10,205.419998,207.429993,205.139999,205.869995,115196800,200.34969
2015-12-09,206.190002,208.679993,204.179993,205.339996,162401500,199.833903
2015-12-08,206.490005,208.289993,205.779999,206.949997,103372400,201.400732
2015-12-07,209.229996,209.729996,207.199997,208.350006,102027100,202.763201
2015-12-04,205.610001,209.970001,205.610001,209.619995,192913900,203.999135
2015-12-03,208.830002,209.149994,204.75,205.610001,166224200,200.096667
2015-12-02,210.619995,211.00,208.229996,208.529999,108441300,202.938367
2015-12-01,209.440002,210.820007,209.110001,210.679993,97858400,205.03071
2015-11-30,209.75,209.889999,208.559998,208.690002,112822700,203.09408
2015-11-27,209.429993,209.800003,208.860001,209.559998,37317800,203.940747
2015-11-25,209.50,209.740005,209.009995,209.320007,51980100,203.707192
2015-11-24,207.869995,209.830002,207.410004,209.350006,98874400,203.736386
2015-11-23,209.380005,209.979996,208.520004,209.070007,64931200,203.463895
2015-11-20,209.449997,210.119995,208.860001,209.309998,94011500,203.69745
2015-11-19,208.589996,209.050003,208.199997,208.550003,88220500,202.957835
2015-11-18,206.039993,208.899994,205.990005,208.729996,121342500,203.133001
2015-11-17,205.990005,207.039993,204.880005,205.470001,121123700,199.960422
2015-11-16,202.320007,205.690002,202.179993,205.619995,117645200,200.106394
2015-11-13,204.350006,204.669998,202.440002,202.539993,153577100,197.108981
2015-11-12,206.50,207.059998,204.820007,204.839996,121315200,199.34731
2015-11-11,208.880005,208.940002,207.660004,207.740005,67846000,202.169557
2015-11-10,207.509995,208.600006,207.190002,208.559998,75874600,202.967561
2015-11-09,209.309998,209.490005,206.949997,208.080002,131008700,202.500436
2015-11-06,209.740005,210.320007,208.460007,210.039993,110471500,204.407872
2015-11-05,210.429993,210.979996,209.089996,210.149994,78408700,204.514923
2015-11-04,211.350006,211.50,209.720001,210.360001,96224500,204.719298
2015-11-03,209.970001,211.660004,209.699997,211.00,95246100,205.342136
2015-11-02,208.320007,210.619995,208.169998,210.389999,86270800,204.748492
2015-10-30,209.059998,209.440002,207.740005,207.929993,131076900,202.35445
2015-10-29,208.350006,209.270004,208.210007,208.830002,90525500,203.230325
2015-10-28,207.00,208.979996,206.210007,208.949997,135906700,203.347103
2015-10-27,206.199997,207.00,205.789993,206.600006,77905800,201.060126
2015-10-26,207.300003,207.369995,206.559998,207.00,69033000,201.449394
2015-10-23,207.25,207.949997,206.300003,207.509995,144442300,201.945714
2015-10-22,202.979996,205.509995,201.850006,205.259995,174911700,199.756046
2015-10-21,203.610001,203.789993,201.649994,201.850006,102038000,196.437495
2015-10-20,202.850006,203.839996,202.550003,203.110001,78448500,197.663703
2015-10-19,202.50,203.369995,202.130005,203.369995,76523900,197.916726
2015-10-16,202.830002,203.289993,201.919998,203.270004,114580100,197.819417
2015-10-15,200.080002,202.360001,199.639999,202.350006,134142200,196.924088
2015-10-14,200.179993,200.869995,198.940002,199.289993,99106200,193.946128
2015-10-13,200.649994,202.160004,200.050003,200.25,88038700,194.880392
2015-10-12,201.419998,201.759995,200.910004,201.520004,56395600,196.116342
2015-10-09,201.380005,201.899994,200.580002,201.330002,107069200,195.931434
2015-10-08,198.949997,201.550003,198.589996,201.210007,153055200,195.814657
2015-10-07,198.899994,199.830002,197.479996,199.410004,124307300,194.06292
2015-10-06,198.309998,198.979996,197.00,197.789993,110274500,192.486349
2015-10-05,196.460007,198.740005,196.330002,198.470001,126320800,193.148123
2015-10-02,189.770004,195.029999,189.119995,195.00,211003300,189.771169
2015-10-01,192.080002,192.490005,189.820007,192.130005,131079000,186.978131
2015-09-30,190.369995,191.830002,189.440002,191.630005,163452000,186.491538
2015-09-29,188.270004,189.740005,186.929993,188.119995,159045600,183.075648
2015-09-28,191.779999,191.910004,187.639999,188.009995,178515900,182.968597
2015-09-25,194.639999,195.00,191.809998,192.850006,155054800,187.678826
2015-09-24,192.149994,193.449997,190.559998,192.899994,159378800,187.727473
2015-09-23,194.110001,194.669998,192.910004,193.600006,92790600,188.408715
2015-09-22,193.880005,194.460007,192.559998,193.910004,153890900,188.7104
2015-09-21,196.440002,197.679993,195.210007,196.460007,105726200,191.192026
2015-09-18,195.710007,198.679993,194.960007,195.449997,223657500,190.209099
2015-09-17,200.020004,202.889999,199.279999,199.729996,276046600,193.369028
2015-09-16,198.820007,200.410004,198.410004,200.179993,99581600,193.804693
2015-09-15,196.610001,198.990005,195.960007,198.460007,113806200,192.139485
2015-09-14,196.949997,197.009995,195.429993,196.009995,79452000,189.767501
2015-09-11,195.380005,196.820007,194.529999,196.740005,119691200,190.474262
2015-09-10,194.559998,197.220001,194.25,195.850006,158611100,189.612608
2015-09-09,199.320007,199.470001,194.350006,194.789993,149347700,188.586354
