xa60,xb60,y,Apr,Mar,Sep,Oct,Jun,May,Aug,Feb,Dec,Nov,Jul,Jan,Tue,Thu,Mon,Wed,Fri,Sat,Sun
0.1112101,-0.1362171,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
9.355811e-005,-0.1056631,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.06033289,-0.08334509,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.1328169,-0.0502432,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.1454294,0.02708887,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.1445459,0.05156166,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.1349909,0.07948898,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.1989183,0.08653307,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.1805781,0.1210772,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.1732339,0.1253442,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.2139738,0.1248015,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.313999,0.1308495,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.1895484,0.1760638,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.1864698,0.2683875,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.1052864,0.3542482,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.1933488,0.3736669,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0.3600665,0.3152307,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.3550671,0.266215,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.3055118,0.2363599,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.3648399,0.2748053,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.371315,0.3057395,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0.4293754,0.3300181,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.495165,0.3860153,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.4578907,0.4595086,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.4925038,0.5226698,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.606691,0.5256024,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.6258703,0.5579085,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.669372,0.5795784,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.6847173,0.6315474,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.5462935,0.7016595,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.4801337,0.8039689,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.3612467,0.8802598,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.388009,0.9036285,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.3200252,0.8026547,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.3468249,0.6236401,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.2270272,0.428802,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.1292239,0.2528219,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.2042057,0.1457797,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.3105158,0.07658293,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.2838952,0.07439474,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.3063786,0.07009119,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.2860538,0.009810573,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.164135,-0.05977016,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.3239934,-0.1157697,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
