xa20,xb20,y,Feb,Aug,Jul,Apr,Jan,Jun,Nov,May,Dec,Mar,Oct,Sep,Sat,Thu,Sun,Tue,Fri,Wed,Mon
-11.16695,-1.599772,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-11.16695,-1.390052,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-11.16695,-1.263583,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-11.16695,-1.156381,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-11.16695,-0.9565384,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-11.16695,-0.7651473,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-11.16695,-0.5277018,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-11.16695,-0.3415063,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
-11.16695,-0.07091998,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
-11.16695,0.1322122,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.08947877,0.2128047,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.08947877,0.1974166,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.08947877,0.1960611,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.08947877,0.2112552,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.08947877,0.07397698,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.08947877,-0.008650641,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0.08947877,-0.09547788,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.08947877,-0.1307639,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0.08947877,-0.08170824,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.08947877,-0.2094527,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.08947877,-0.3555323,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.08947877,-0.5383518,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.08947877,-0.6413989,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.08947877,-0.7390676,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.08947877,-0.8621006,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.08947877,-0.8513972,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0.08947877,-0.8522111,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.08947877,-0.7964502,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.08947877,-0.7342689,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.08947877,-0.6873108,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0.08947877,-0.6584181,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.08947877,-0.6490246,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.08947877,-0.6192638,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0.08947877,-0.6573047,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.08947877,-0.725811,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.08947877,-0.730951,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.08947877,-0.700506,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0.08947877,-0.6929344,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.08947877,-0.7237966,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.08947877,-0.7240075,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.08947877,-0.6841885,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.08947877,-0.6895802,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
