xa10,xb10,y,Jan,Dec,Mar,Feb,Apr,May,Sep,Jun,Aug,Jul,Nov,Oct,Tue,Mon,Thu,Sun,Fri,Sat,Wed
1,2.483675e+009,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,2.496514e+009,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,2.401452e+009,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2.24279e+009,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,2.141278e+009,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,2.027227e+009,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,1.952744e+009,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,1.787794e+009,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,1.655692e+009,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1.67393e+009,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1,1.694663e+009,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,1.728053e+009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1.592749e+009,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1,1.4774e+009,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1,1.365985e+009,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1.353109e+009,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1,1.424276e+009,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1.484963e+009,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1.553722e+009,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
