xa5,xb5,y,Nov,Oct,Aug,Feb,Jul,Dec,May,Apr,Sep,Jun,Mar,Jan,Mon,Sun,Tue,Wed,Fri,Thu,Sat
0.9983704,1.428438e+009,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.9987177,1.335854e+009,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1.016137,1.266874e+009,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1.000802,1.221361e+009,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1.00494,1.234566e+009,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0.9890822,1.215418e+009,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1.000798,1.233988e+009,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.003254,1.351286e+009,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.00392,1.401882e+009,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.004492,1.411158e+009,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.023507,1.371412e+009,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.9921575,1.391818e+009,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.9976987,1.33106e+009,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1.012112,1.231668e+009,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.004576,1.222244e+009,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.9873704,1.249661e+009,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1.014479,1.333994e+009,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.9995315,1.465698e+009,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.9959041,1.593623e+009,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1.016335,1.860325e+009,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1.016878,1.938218e+009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.020617,1.965595e+009,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.9869919,1.968969e+009,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0.9991372,1.966365e+009,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1.000054,1.884694e+009,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0.986539,1.920795e+009,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.9809498,1.967609e+009,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1.001568,1.861853e+009,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.005995,1.906146e+009,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0.9819778,1.855245e+009,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.9996386,1.797098e+009,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1.024377,1.694054e+009,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1.005209,1.662691e+009,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.9891168,1.883524e+009,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1.013643,2.186762e+009,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.9848835,2.606559e+009,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1.020515,2.70567e+009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.005602,2.832002e+009,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.9871849,2.715816e+009,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1.001331,2.453905e+009,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.9785339,2.179324e+009,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1.016417,2.122996e+009,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.9750594,2.154408e+009,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.008068,2.086208e+009,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1.00099,1.902621e+009,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.9890234,1.557864e+009,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.9760084,1.374064e+009,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
