xa5,xb5,y,Nov,Oct,Aug,Feb,Jul,Dec,May,Apr,Sep,Jun,Mar,Jan,Mon,Sun,Tue,Wed,Fri,Thu,Sat
1.002481,7.470098e+008,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1.001464,9.564037e+008,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.9982726,1.136603e+009,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0.9972174,1.37899e+009,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.003858,1.454973e+009,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.002177,1.424316e+009,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.9980442,1.286426e+009,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1.004117,1.157725e+009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.9917457,1.078716e+009,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.006674,1.046245e+009,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.9988522,1.017694e+009,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1.00604,8.819542e+008,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.002449,7.904426e+008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.013081,8.341248e+008,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.003167,9.04991e+008,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.006009,9.814749e+008,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1.000501,8.8948e+008,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0.9963245,7.616067e+008,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0.9976008,6.317628e+008,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1.00195,6.239308e+008,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.9953051,7.085199e+008,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1.003715,7.908464e+008,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.000544,8.349121e+008,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.001953,8.332768e+008,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.007551,8.360134e+008,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.9977624,9.229734e+008,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1.005141,1.092114e+009,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.9981217,1.380259e+009,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.007803,1.708321e+009,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1.000786,1.973948e+009,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.997695,1.703201e+009,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1.002496,1.325108e+009,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1.010602,1.153855e+009,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1.004504,1.122362e+009,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1.022057,1.096099e+009,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0.9988984,1.153227e+009,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.9954229,1.075233e+009,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.9939814,1.099238e+009,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.9927546,1.009976e+009,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1.000047,8.68337e+008,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0.9970446,7.798882e+008,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.9973332,7.677368e+008,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.9979923,8.171373e+008,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.9966494,8.318812e+008,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1.004253,7.881004e+008,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.000468,7.905738e+008,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.9981333,8.182805e+008,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.002667,9.016617e+008,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1.006262,1.021842e+009,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0.9965278,1.005471e+009,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1.000516,1.037923e+009,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.9967245,9.148923e+008,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1.001312,8.437564e+008,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.9873704,8.385096e+008,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.005208,8.932428e+008,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0.9965706,1.045395e+009,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.000696,1.129185e+009,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.004425,1.182848e+009,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.9949022,1.20072e+009,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.9975959,1.097876e+009,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1.007546,9.575683e+008,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.9909527,9.061451e+008,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1.004964,9.061421e+008,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1.006208,9.076689e+008,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0.9918978,9.643857e+008,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.9945207,1.001931e+009,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.006301,1.085183e+009,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1.011245,1.334404e+009,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.000047,1.534871e+009,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1.000188,1.629031e+009,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.9961344,1.826111e+009,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.009993,1.872397e+009,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.9996248,1.798279e+009,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.9856245,1.339102e+009,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1.014347,9.428155e+008,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.9760652,7.87008e+008,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.997717,8.447947e+008,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.9999087,9.146141e+008,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.003022,9.006357e+008,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1.004508,8.496214e+008,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.000046,8.558592e+008,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.997156,9.698248e+008,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.9983513,9.117773e+008,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.004924,7.852635e+008,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.9981167,6.961889e+008,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.9993114,6.81277e+008,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.9948852,7.203905e+008,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1.002013,7.031372e+008,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.9999543,6.911888e+008,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.9985378,6.521871e+008,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1.002244,6.291604e+008,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.001881,6.508578e+008,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.9948423,6.909051e+008,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1.002884,6.530007e+008,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.9991311,6.030396e+008,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.004641,5.616921e+008,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0.997525,6.057046e+008,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1.000596,6.422078e+008,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0.9994042,6.855255e+008,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.008179,8.038905e+008,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1.001064,8.482002e+008,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.002923,8.444626e+008,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.9935927,8.102607e+008,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.999171,8.069962e+008,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.001615,7.721431e+008,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.001155,7.111701e+008,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.9989389,6.825639e+008,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1.000462,6.860095e+008,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.9972841,6.661747e+008,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.004485,6.842458e+008,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.9962228,7.616419e+008,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.004163,9.289309e+008,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.9989834,1.02104e+009,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.002687,1.00633e+009,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.9986582,1.039544e+009,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1.005583,1.039222e+009,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.9998604,1.12527e+009,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1.007263,1.119769e+009,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1.003527,1.100501e+009,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.01489,1.190006e+009,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.9993799,1.317026e+009,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1.005998,1.522097e+009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.9928068,1.699976e+009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0021,2.009533e+009,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1.013646,2.308199e+009,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1.017028,2.486511e+009,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1.018036,1.905617e+009,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.9820901,1.251594e+009,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.9640909,9.618946e+008,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1.013023,1.027749e+009,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.9983689,1.197244e+009,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1.002839,1.375397e+009,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1.00644,1.370023e+009,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.9962759,1.326475e+009,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1.002984,1.256753e+009,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0.9986061,1.147374e+009,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.9980331,9.47703e+008,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0.9922882,7.867101e+008,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.9905225,7.477299e+008,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0.9986345,7.752022e+008,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.00326,8.586898e+008,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1.001561,8.720889e+008,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.005088,8.497238e+008,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0.9970129,8.863096e+008,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1.003044,8.240732e+008,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1.002049,7.557698e+008,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0.9980974,7.774149e+008,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.004299,8.816517e+008,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.000287,9.173765e+008,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1.006783,1.04047e+009,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.012962,1.190425e+009,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0.9986374,1.238867e+009,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1.006317,1.186765e+009,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.996535,1.05732e+009,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1.000293,9.941833e+008,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.9906664,9.66182e+008,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1.009865,9.214608e+008,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.9912858,8.771908e+008,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1.000291,8.468322e+008,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0.9906453,8.632187e+008,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1.012434,8.819615e+008,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1.000826,9.203407e+008,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1.003659,1.016221e+009,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0.9998049,1.026863e+009,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.9944218,1.12929e+009,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.9912968,1.108848e+009,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.007948,9.612852e+008,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.9946011,8.642459e+008,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.9909242,8.537864e+008,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1.002058,9.238608e+008,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1.001486,9.572183e+008,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.9982773,9.326478e+008,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,9.085773e+008,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.9946216,8.638955e+008,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.000953,8.439578e+008,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1.003154,8.714375e+008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
